target,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,year,day_of_year,day_of_month
221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,47.5112,-122.257,1340,5650,2014,286,13
538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,47.721,-122.319,1690,7639,2014,343,9
180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,47.7379,-122.233,2720,8062,2015,56,25
604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,47.5208,-122.393,1360,5000,2014,343,9
510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,47.6168,-122.045,1800,7503,2015,49,18
1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,47.6561,-122.005,4760,101930,2014,132,12
257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,47.3097,-122.327,2238,6819,2014,178,27
291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,47.4095,-122.315,1650,9711,2015,15,15
229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,47.5123,-122.337,1780,8113,2015,105,15
323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,47.3684,-122.031,2390,7570,2015,71,12
662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,47.6007,-122.145,2210,8925,2015,93,3
468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,47.69,-122.292,1330,6000,2014,147,27
310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,47.7558,-122.229,1780,12697,2014,148,28
400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,47.6127,-122.045,1370,10208,2014,280,7
530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,47.67,-122.394,1360,4850,2015,71,12
650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,47.5714,-122.375,2140,4000,2015,24,24
395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,47.7277,-121.962,1890,14018,2014,212,31
485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,47.6648,-122.343,1610,4300,2014,149,29
189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,47.3089,-122.21,1060,5095,2014,339,5
230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,47.3343,-122.306,1280,8850,2015,114,24
385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,47.7025,-122.341,1400,4980,2014,134,14
2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,47.5316,-122.233,4110,20336,2014,238,26
285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,47.3266,-122.169,2240,7005,2014,184,3
252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,47.3533,-122.166,1220,8386,2014,136,16
329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,47.3739,-122.172,2200,6865,2014,324,20
233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,47.3048,-122.218,1030,4705,2014,307,3
937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,47.6386,-122.36,1760,3573,2014,177,26
667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,47.6221,-122.314,1860,3861,2014,335,1
438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,47.695,-122.304,1520,6235,2014,175,24
719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,47.7073,-122.11,2630,6026,2015,61,2
580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,47.5391,-122.07,2580,3980,2014,314,10
280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,47.7274,-122.357,1390,1756,2014,335,1
687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,47.6823,-122.368,1460,5000,2014,175,24
535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,47.6889,-122.375,1570,5080,2014,314,10
322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,47.4276,-122.157,2020,8720,2014,337,3
696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,47.6827,-122.31,1590,3264,2014,164,13
550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,47.6621,-122.132,2160,11467,2014,148,28
640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,47.6702,-122.362,1730,4700,2014,364,30
240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,47.3341,-122.282,1290,7800,2015,44,13
605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,47.5301,-122.18,2620,11884,2014,171,20
625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,47.6145,-122.027,2470,5669,2014,196,15
775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,47.445,-122.347,2410,30617,2014,223,11
861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,47.6848,-122.016,3625,5639,2014,188,7
685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,47.6413,-122.364,1580,2640,2014,301,28
309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,47.4485,-122.175,1340,8808,2014,210,29
488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,47.7443,-121.977,3050,9232,2014,199,18
210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,47.3066,-122.371,1228,8840,2015,84,25
785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,47.6194,-122.151,2680,13685,2014,197,16
450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,47.6796,-122.301,970,5100,2015,118,28
1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,47.4041,-122.451,2680,72513,2015,70,11
228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,47.4258,-122.322,1190,9364,2014,259,16
345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,47.4934,-122.189,1990,9133,2015,48,17
600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,47.6808,-122.384,1410,4080,2014,365,31
585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,47.6989,-122.369,1480,6738,2015,36,5
920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,47.6571,-122.281,2730,6000,2015,62,3
885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,47.6597,-122.29,1950,5000,2014,132,12
292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,47.3663,-122.114,2250,4500,2014,231,19
301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,47.3663,-122.122,2690,4750,2015,97,7
951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,47.588,-122.116,2960,11044,2014,239,27
430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,47.5059,-122.149,2270,8542,2015,54,23
650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,0,47.4336,-122.339,2570,18900,2014,344,10
289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,47.4366,-122.335,1290,8750,2014,240,28
505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,47.4428,-122.344,2500,9500,2014,294,21
549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,47.6765,-122.32,1580,3090,2014,341,7
425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,47.6113,-122.297,1440,4080,2014,154,3
317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,47.5747,-122.304,1440,4000,2014,324,20
975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,47.5815,-122.192,2750,11049,2014,252,9
287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,47.3378,-122.257,2221,4557,2014,282,9
